Trial;Metal;Voltage (V);Current (pA);Frequency (Hz);Wavelength (nm);;;;Trial,Metal,Voltage (V),Current (pA),Frequency (Hz),Wavelength (nm)
1;Sodium; 0.010; 0.00;5.5046E14;545.00;;;;1,Sodium, 0.010, 0.00,5.5046E14,545.00
2;Sodium; 0.080; 0.02;5.6818E14;528.00;;;;2,Sodium, 0.080, 0.02,5.6818E14,528.00
3;Sodium; 0.159; 0.01;5.8708E14;511.00;;;;3,Sodium, 0.159, 0.01,5.8708E14,511.00
4;Sodium; 0.240;-0.01;6.0729E14;494.00;;;;4,Sodium, 0.240,-0.01,6.0729E14,494.00
5;Sodium; 0.328; 0.01;6.2893E14;477.00;;;;5,Sodium, 0.328, 0.01,6.2893E14,477.00
6;Sodium; 0.432; 0.01;6.5217E14;460.00;;;;6,Sodium, 0.432, 0.01,6.5217E14,460.00
7;Sodium; 0.530;-0.01;6.7720E14;443.00;;;;7,Sodium, 0.530,-0.01,6.7720E14,443.00
8;Sodium; 0.639;-0.01;7.0423E14;426.00;;;;8,Sodium, 0.639,-0.01,7.0423E14,426.00
9;Sodium; 0.761; 0.02;7.3350E14;409.00;;;;9,Sodium, 0.761, 0.02,7.3350E14,409.00
10;Sodium; 0.889; 0.01;7.6531E14;392.00;;;;10,Sodium, 0.889, 0.01,7.6531E14,392.00
11;Sodium; 1.038;-0.01;8.0000E14;375.00;;;;11,Sodium, 1.038,-0.01,8.0000E14,375.00
12;Sodium; 1.199;-0.02;8.3799E14;358.00;;;;12,Sodium, 1.199,-0.02,8.3799E14,358.00
13;Sodium; 1.380; 0.01;8.7977E14;341.00;;;;13,Sodium, 1.380, 0.01,8.7977E14,341.00
14;Sodium; 1.562; 0.02;9.2593E14;324.00;;;;14,Sodium, 1.562, 0.02,9.2593E14,324.00
15;Sodium; 1.769; 0.01;9.7720E14;307.00;;;;15,Sodium, 1.769, 0.01,9.7720E14,307.00
16;Sodium; 2.010;-0.01;10.3448E14;290.00;;;;16,Sodium, 2.010,-0.01,10.3448E14,290.00
17;Sodium; 2.278; 0.02;10.9890E14;273.00;;;;17,Sodium, 2.278, 0.02,10.9890E14,273.00
18;Sodium; 2.582; 0.00;11.7188E14;256.00;;;;18,Sodium, 2.582, 0.00,11.7188E14,256.00
19;Sodium; 2.919; 0.03;12.5523E14;239.00;;;;19,Sodium, 2.919, 0.03,12.5523E14,239.00
20;Sodium; 3.321; 0.02;13.5135E14;222.00;;;;20,Sodium, 3.321, 0.02,13.5135E14,222.00
21;Sodium; 3.780;-0.00;14.6341E14;205.00;;;;21,Sodium, 3.780,-0.00,14.6341E14,205.00
